Word,Trend,Early Avg,Recent Avg,Change
support,Rising,1.91,60.32,58.41
singaporeans,Rising,0.19,28.09,27.9
help,Rising,2.79,27.41,24.62
provide,Rising,6.89,27.41,20.52
global,Rising,0.21,19.3,19.09
workers,Rising,8.69,27.3,18.6
continue,Rising,6.37,23.15,16.77
billion,Rising,0.93,17.36,16.44
businesses,Rising,0.13,15.77,15.64
families,Rising,1.2,15.77,14.57
community,Rising,1.11,14.59,13.47
together,Rising,2.14,14.91,12.77
million,Declining,105.46,13.19,-92.28
cent,Declining,70.97,0.0,-70.97
per,Declining,77.66,8.91,-68.74
expenditure,Declining,40.25,2.84,-37.41
development,Declining,43.01,12.23,-30.78
increase,Declining,41.42,16.48,-24.94
growth,Declining,36.15,14.8,-21.35
trade,Declining,27.57,6.48,-21.09
year,Declining,60.87,40.25,-20.62
total,Declining,25.05,5.22,-19.82
industrial,Declining,20.81,1.0,-19.81
industries,Declining,21.96,3.32,-18.64
